dataMain;tcpDownload;tcpUpload;jitterDownload;jitterUpload;udpDownload;udpUpload;perdaPacotes;latencia;servidor;dataPing;ping;destination;isGw
03/11/15 09:48;23.88 Mbit/s;23.57 Mbit/s;< 1 ms;1.08 ms;24.05 Mbit/s;24.08 Mbit/s;0.0 %;5.1 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
03/11/15 08:48;24.91 Mbit/s;24.48 Mbit/s;< 1 ms;< 1 ms;24.05 Mbit/s;24.4 Mbit/s;0.0 %;5.1 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 07:48;24.85 Mbit/s;24.51 Mbit/s;< 1 ms;1.41 ms;24.27 Mbit/s;23.87 Mbit/s;0.0 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 06:48;22.54 Mbit/s;24.36 Mbit/s;< 1 ms;3.53 ms;23.27 Mbit/s;24.33 Mbit/s;0.0 %;4.53 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 05:48;24.9 Mbit/s;23.82 Mbit/s;< 1 ms;< 1 ms;24.39 Mbit/s;23.61 Mbit/s;0.0 %;5.01 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
03/11/15 04:48;24.96 Mbit/s;24.42 Mbit/s;< 1 ms;< 1 ms;24.22 Mbit/s;24.36 Mbit/s;0.0 %;5.1 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
03/11/15 03:48;25.08 Mbit/s;24.41 Mbit/s;< 1 ms;< 1 ms;24.37 Mbit/s;24.38 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
03/11/15 02:48;25.01 Mbit/s;24.42 Mbit/s;< 1 ms;< 1 ms;24.28 Mbit/s;24.01 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
03/11/15 01:48;24.92 Mbit/s;24.46 Mbit/s;2.83 ms;< 1 ms;24.36 Mbit/s;24.39 Mbit/s;0.0 %;4.45 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
03/11/15 00:48;24.99 Mbit/s;24.56 Mbit/s;< 1 ms;< 1 ms;24.29 Mbit/s;24.18 Mbit/s;0.0 %;5.15 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 23:48;24.92 Mbit/s;24.53 Mbit/s;< 1 ms;< 1 ms;24.32 Mbit/s;24.4 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 22:48;24.98 Mbit/s;24.47 Mbit/s;< 1 ms;< 1 ms;24.35 Mbit/s;24.4 Mbit/s;0.0 %;4.5 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 21:48;24.87 Mbit/s;23.63 Mbit/s;< 1 ms;< 1 ms;24.55 Mbit/s;23.54 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 20:48;24.98 Mbit/s;24.4 Mbit/s;< 1 ms;< 1 ms;24.4 Mbit/s;24.35 Mbit/s;0.0 %;5.05 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 19:48;24.89 Mbit/s;24.36 Mbit/s;< 1 ms;< 1 ms;24.11 Mbit/s;24.32 Mbit/s;0.0 %;4.58 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 18:48;23.29 Mbit/s;24.42 Mbit/s;< 1 ms;2.75 ms;23.56 Mbit/s;24.37 Mbit/s;0.0 %;8.75 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 17:48;24.83 Mbit/s;22.86 Mbit/s;5.16 ms;< 1 ms;24.08 Mbit/s;23.4 Mbit/s;0.0 %;5.2 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 16:48;24.65 Mbit/s;24.55 Mbit/s;< 1 ms;< 1 ms;24.13 Mbit/s;23.58 Mbit/s;0.0 %;5.08 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 15:48;22.7 Mbit/s;23.72 Mbit/s;< 1 ms;< 1 ms;23.49 Mbit/s;24.05 Mbit/s;0.0 %;4.58 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 14:48;24.92 Mbit/s;22.61 Mbit/s;1.07 ms;< 1 ms;23.91 Mbit/s;23.38 Mbit/s;0.0 %;5.1 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
02/11/15 13:48;22.59 Mbit/s;22.61 Mbit/s;< 1 ms;< 1 ms;23.44 Mbit/s;23.67 Mbit/s;0.0 %;7.04 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 12:48;24.79 Mbit/s;21.48 Mbit/s;< 1 ms;1.13 ms;23.7 Mbit/s;22.87 Mbit/s;0.0 %;7.22 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 11:48;23.34 Mbit/s;24.4 Mbit/s;< 1 ms;< 1 ms;23.76 Mbit/s;24.3 Mbit/s;0.0 %;4.81 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 10:48;22.56 Mbit/s;23.26 Mbit/s;< 1 ms;< 1 ms;23.48 Mbit/s;23.64 Mbit/s;0.0 %;4.73 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 09:48;24.91 Mbit/s;24.5 Mbit/s;< 1 ms;< 1 ms;24.24 Mbit/s;24.31 Mbit/s;0.0 %;4.53 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 07:48;22.09 Mbit/s;24.17 Mbit/s;< 1 ms;< 1 ms;23.07 Mbit/s;24.28 Mbit/s;0.0 %;4.62 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 06:48;24.97 Mbit/s;24.52 Mbit/s;< 1 ms;< 1 ms;24.1 Mbit/s;23.69 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
02/11/15 05:48;24.9 Mbit/s;23.82 Mbit/s;< 1 ms;< 1 ms;24.21 Mbit/s;24.24 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
02/11/15 04:48;24.3 Mbit/s;24.47 Mbit/s;< 1 ms;< 1 ms;24.16 Mbit/s;24.39 Mbit/s;0.0 %;4.59 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
02/11/15 03:48;25.02 Mbit/s;24.5 Mbit/s;< 1 ms;< 1 ms;24.41 Mbit/s;24.4 Mbit/s;0.0 %;5.53 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
02/11/15 02:48;25.0 Mbit/s;24.5 Mbit/s;< 1 ms;< 1 ms;24.36 Mbit/s;24.4 Mbit/s;0.0 %;4.96 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
02/11/15 01:48;24.65 Mbit/s;24.49 Mbit/s;< 1 ms;< 1 ms;24.05 Mbit/s;24.22 Mbit/s;0.0 %;5.07 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
02/11/15 00:48;24.34 Mbit/s;24.4 Mbit/s;< 1 ms;< 1 ms;24.03 Mbit/s;24.14 Mbit/s;0.0 %;4.5 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 23:49;24.45 Mbit/s;24.37 Mbit/s;< 1 ms;< 1 ms;24.0 Mbit/s;24.13 Mbit/s;0.0 %;4.66 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 22:48;24.96 Mbit/s;24.42 Mbit/s;< 1 ms;< 1 ms;24.4 Mbit/s;24.37 Mbit/s;0.0 %;4.66 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 21:48;23.83 Mbit/s;24.49 Mbit/s;< 1 ms;< 1 ms;23.9 Mbit/s;24.06 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 20:48;25.06 Mbit/s;24.41 Mbit/s;< 1 ms;< 1 ms;24.2 Mbit/s;24.01 Mbit/s;0.0 %;5.1 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 19:48;24.15 Mbit/s;24.47 Mbit/s;< 1 ms;< 1 ms;23.77 Mbit/s;23.56 Mbit/s;0.0 %;5.08 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
01/11/15 18:48;24.81 Mbit/s;23.53 Mbit/s;< 1 ms;< 1 ms;24.3 Mbit/s;23.63 Mbit/s;0.0 %;5.47 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 17:48;24.6 Mbit/s;24.4 Mbit/s;< 1 ms;< 1 ms;24.22 Mbit/s;24.35 Mbit/s;0.0 %;4.96 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 16:48;23.91 Mbit/s;24.48 Mbit/s;< 1 ms;2.95 ms;24.0 Mbit/s;24.38 Mbit/s;0.0 %;4.64 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 15:48;24.93 Mbit/s;24.37 Mbit/s;< 1 ms;< 1 ms;24.22 Mbit/s;24.34 Mbit/s;0.0 %;5.12 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 14:48;22.84 Mbit/s;22.87 Mbit/s;< 1 ms;< 1 ms;23.64 Mbit/s;23.47 Mbit/s;0.0 %;4.52 ms;NIC.br nodo 2;;;;;
01/11/15 13:48;24.31 Mbit/s;24.06 Mbit/s;< 1 ms;< 1 ms;23.75 Mbit/s;24.13 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 12:48;23.32 Mbit/s;24.36 Mbit/s;< 1 ms;< 1 ms;23.23 Mbit/s;23.54 Mbit/s;0.0 %;5.15 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 11:48;23.85 Mbit/s;24.45 Mbit/s;< 1 ms;< 1 ms;23.74 Mbit/s;24.17 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 10:48;24.85 Mbit/s;24.53 Mbit/s;< 1 ms;< 1 ms;24.09 Mbit/s;24.38 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 09:48;23.37 Mbit/s;24.28 Mbit/s;< 1 ms;< 1 ms;23.85 Mbit/s;24.33 Mbit/s;0.0 %;4.6 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 08:48;25.0 Mbit/s;22.81 Mbit/s;< 1 ms;< 1 ms;24.35 Mbit/s;22.72 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 07:48;24.92 Mbit/s;24.5 Mbit/s;< 1 ms;< 1 ms;24.27 Mbit/s;24.29 Mbit/s;0.0 %;5.61 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 06:48;24.37 Mbit/s;24.43 Mbit/s;< 1 ms;< 1 ms;23.76 Mbit/s;24.34 Mbit/s;0.0 %;5.55 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
01/11/15 05:48;25.04 Mbit/s;23.72 Mbit/s;< 1 ms;< 1 ms;24.35 Mbit/s;24.17 Mbit/s;0.0 %;4.63 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
01/11/15 04:48;24.98 Mbit/s;24.54 Mbit/s;< 1 ms;< 1 ms;24.37 Mbit/s;24.4 Mbit/s;0.0 %;4.69 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
01/11/15 03:49;24.64 Mbit/s;24.49 Mbit/s;< 1 ms;< 1 ms;24.35 Mbit/s;24.2 Mbit/s;0.0 %;4.49 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
01/11/15 02:48;24.9 Mbit/s;24.29 Mbit/s;< 1 ms;< 1 ms;24.39 Mbit/s;24.16 Mbit/s;0.0 %;4.58 ms;NIC.br nodo 2;;;;;
01/11/15 01:48;24.84 Mbit/s;24.42 Mbit/s;< 1 ms;< 1 ms;24.16 Mbit/s;24.18 Mbit/s;0.0 %;5.11 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
01/11/15 00:48;24.04 Mbit/s;24.48 Mbit/s;< 1 ms;< 1 ms;24.1 Mbit/s;23.32 Mbit/s;0.0 %;5.19 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/10/15 23:48;22.09 Mbit/s;24.51 Mbit/s;< 1 ms;< 1 ms;23.27 Mbit/s;24.37 Mbit/s;0.0 %;4.55 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/10/15 22:48;23.74 Mbit/s;22.86 Mbit/s;< 1 ms;< 1 ms;23.65 Mbit/s;23.62 Mbit/s;0.0 %;5.12 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 21:48;23.39 Mbit/s;23.44 Mbit/s;< 1 ms;< 1 ms;23.85 Mbit/s;24.05 Mbit/s;0.0 %;6.19 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/10/15 20:48;23.32 Mbit/s;24.21 Mbit/s;1.85 ms;< 1 ms;23.56 Mbit/s;24.27 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/10/15 19:48;24.63 Mbit/s;22.69 Mbit/s;< 1 ms;< 1 ms;24.21 Mbit/s;22.88 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/10/15 18:48;24.95 Mbit/s;24.55 Mbit/s;< 1 ms;< 1 ms;24.31 Mbit/s;23.89 Mbit/s;0.0 %;5.01 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/10/15 17:48;23.11 Mbit/s;23.45 Mbit/s;< 1 ms;< 1 ms;23.58 Mbit/s;23.92 Mbit/s;0.0 %;4.57 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
31/10/15 15:48;24.52 Mbit/s;24.43 Mbit/s;< 1 ms;< 1 ms;23.03 Mbit/s;23.98 Mbit/s;0.0 %;4.59 ms;NIC.br nodo 2;;;;;
31/10/15 13:49;24.86 Mbit/s;22.09 Mbit/s;4.89 ms;3.01 ms;24.03 Mbit/s;23.35 Mbit/s;0.0 %;6.54 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/10/15 12:48;24.83 Mbit/s;24.45 Mbit/s;< 1 ms;< 1 ms;24.33 Mbit/s;24.2 Mbit/s;0.0 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/10/15 11:48;23.72 Mbit/s;23.58 Mbit/s;< 1 ms;< 1 ms;23.95 Mbit/s;23.78 Mbit/s;0.0 %;5.03 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/10/15 10:48;22.12 Mbit/s;22.8 Mbit/s;< 1 ms;< 1 ms;23.15 Mbit/s;23.77 Mbit/s;0.0 %;5.12 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/10/15 09:48;24.68 Mbit/s;24.57 Mbit/s;< 1 ms;4.45 ms;23.87 Mbit/s;24.41 Mbit/s;0.0 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/10/15 08:48;23.96 Mbit/s;23.21 Mbit/s;4.82 ms;< 1 ms;23.68 Mbit/s;23.85 Mbit/s;0.0 %;5.63 ms;NIC.br nodo 2;;;;;
31/10/15 07:48;24.91 Mbit/s;24.49 Mbit/s;< 1 ms;< 1 ms;24.36 Mbit/s;24.34 Mbit/s;0.0 %;5.16 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
31/10/15 06:48;24.95 Mbit/s;24.58 Mbit/s;< 1 ms;< 1 ms;24.25 Mbit/s;24.38 Mbit/s;0.0 %;4.57 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
31/10/15 05:48;24.99 Mbit/s;24.49 Mbit/s;< 1 ms;< 1 ms;24.14 Mbit/s;24.4 Mbit/s;0.0 %;5.09 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 04:48;24.72 Mbit/s;24.34 Mbit/s;< 1 ms;< 1 ms;24.2 Mbit/s;24.39 Mbit/s;0.0 %;4.59 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
31/10/15 03:48;24.99 Mbit/s;24.6 Mbit/s;< 1 ms;< 1 ms;24.34 Mbit/s;24.39 Mbit/s;0.0 %;5.04 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
31/10/15 02:48;24.58 Mbit/s;24.49 Mbit/s;1.32 ms;< 1 ms;24.22 Mbit/s;24.35 Mbit/s;0.0 %;5.04 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
31/10/15 01:48;24.99 Mbit/s;24.52 Mbit/s;< 1 ms;< 1 ms;24.37 Mbit/s;24.35 Mbit/s;0.0 %;4.57 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
31/10/15 00:48;24.89 Mbit/s;24.43 Mbit/s;2.91 ms;< 1 ms;24.36 Mbit/s;23.4 Mbit/s;0.0 %;4.71 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/10/15 23:48;24.88 Mbit/s;24.46 Mbit/s;< 1 ms;< 1 ms;24.31 Mbit/s;24.36 Mbit/s;0.0 %;4.58 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/10/15 22:48;24.52 Mbit/s;24.11 Mbit/s;< 1 ms;< 1 ms;24.12 Mbit/s;23.88 Mbit/s;0.0 %;4.75 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/10/15 21:48;23.88 Mbit/s;23.41 Mbit/s;< 1 ms;< 1 ms;23.75 Mbit/s;23.95 Mbit/s;0.0 %;4.5 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/10/15 20:48;22.48 Mbit/s;22.35 Mbit/s;< 1 ms;< 1 ms;22.78 Mbit/s;23.3 Mbit/s;0.0 %;5.14 ms;PTT Metro de Sao Paulo - PIX ALOG Tambore;;;;;
30/10/15 19:48;23.61 Mbit/s;24.23 Mbit/s;< 1 ms;< 1 ms;23.56 Mbit/s;23.85 Mbit/s;0.0 %;4.51 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/10/15 18:48;24.85 Mbit/s;23.57 Mbit/s;< 1 ms;1.5 ms;24.18 Mbit/s;24.03 Mbit/s;0.0 %;4.57 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/10/15 17:48;22.81 Mbit/s;23.27 Mbit/s;< 1 ms;< 1 ms;23.54 Mbit/s;23.15 Mbit/s;0.0 %;5.47 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/10/15 16:48;23.05 Mbit/s;23.47 Mbit/s;< 1 ms;< 1 ms;23.64 Mbit/s;23.83 Mbit/s;0.0 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/10/15 15:48;24.63 Mbit/s;23.44 Mbit/s;< 1 ms;< 1 ms;24.02 Mbit/s;24.02 Mbit/s;0.0 %;4.58 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/10/15 14:48;25.01 Mbit/s;24.24 Mbit/s;< 1 ms;< 1 ms;24.11 Mbit/s;23.74 Mbit/s;0.67 %;5.56 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/10/15 13:48;24.9 Mbit/s;24.39 Mbit/s;< 1 ms;< 1 ms;24.15 Mbit/s;24.34 Mbit/s;0.0 %;5.28 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/10/15 12:48;22.56 Mbit/s;24.15 Mbit/s;< 1 ms;3.27 ms;23.44 Mbit/s;24.21 Mbit/s;0.0 %;4.81 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/10/15 11:48;24.74 Mbit/s;24.45 Mbit/s;< 1 ms;< 1 ms;24.04 Mbit/s;23.98 Mbit/s;0.0 %;5.04 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/10/15 10:48;21.77 Mbit/s;24.37 Mbit/s;< 1 ms;< 1 ms;22.44 Mbit/s;23.98 Mbit/s;0.0 %;5.2 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/10/15 09:48;24.47 Mbit/s;24.21 Mbit/s;< 1 ms;< 1 ms;23.95 Mbit/s;23.91 Mbit/s;0.0 %;6.19 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/10/15 08:48;24.13 Mbit/s;24.28 Mbit/s;< 1 ms;< 1 ms;24.03 Mbit/s;23.71 Mbit/s;0.0 %;4.54 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
30/10/15 07:48;23.55 Mbit/s;24.26 Mbit/s;< 1 ms;< 1 ms;23.87 Mbit/s;23.87 Mbit/s;0.0 %;6.06 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/10/15 06:48;24.61 Mbit/s;24.33 Mbit/s;< 1 ms;< 1 ms;24.2 Mbit/s;24.36 Mbit/s;0.0 %;5.05 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
30/10/15 05:48;24.94 Mbit/s;23.99 Mbit/s;< 1 ms;< 1 ms;24.18 Mbit/s;23.98 Mbit/s;0.0 %;4.55 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/10/15 04:48;24.4 Mbit/s;24.45 Mbit/s;< 1 ms;< 1 ms;24.04 Mbit/s;24.25 Mbit/s;0.0 %;5.12 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
30/10/15 03:48;24.9 Mbit/s;24.36 Mbit/s;< 1 ms;< 1 ms;24.4 Mbit/s;24.16 Mbit/s;0.0 %;4.59 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
30/10/15 02:48;24.85 Mbit/s;24.43 Mbit/s;< 1 ms;< 1 ms;24.37 Mbit/s;24.15 Mbit/s;0.0 %;4.66 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
30/10/15 01:48;24.58 Mbit/s;24.4 Mbit/s;< 1 ms;< 1 ms;23.89 Mbit/s;24.29 Mbit/s;0.0 %;4.74 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
30/10/15 00:48;25.02 Mbit/s;24.52 Mbit/s;< 1 ms;< 1 ms;24.33 Mbit/s;24.38 Mbit/s;0.0 %;4.64 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/10/15 23:48;24.94 Mbit/s;24.36 Mbit/s;< 1 ms;< 1 ms;24.31 Mbit/s;24.33 Mbit/s;0.0 %;4.6 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/10/15 22:48;24.07 Mbit/s;23.34 Mbit/s;< 1 ms;< 1 ms;23.97 Mbit/s;23.46 Mbit/s;0.0 %;4.64 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/10/15 21:48;24.71 Mbit/s;23.84 Mbit/s;< 1 ms;3.15 ms;23.54 Mbit/s;23.54 Mbit/s;0.0 %;5.49 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/10/15 20:48;21.54 Mbit/s;23.64 Mbit/s;< 1 ms;< 1 ms;22.68 Mbit/s;23.9 Mbit/s;0.0 %;4.58 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/10/15 19:48;22.14 Mbit/s;22.46 Mbit/s;< 1 ms;< 1 ms;23.29 Mbit/s;22.36 Mbit/s;0.0 %;5.48 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/10/15 18:48;23.63 Mbit/s;24.53 Mbit/s;< 1 ms;< 1 ms;23.63 Mbit/s;23.86 Mbit/s;0.0 %;5.12 ms;PTT Metro de Sao Paulo - Nodo 2 - PIX ALOG Tambore;;;;;
29/10/15 17:48;24.86 Mbit/s;23.75 Mbit/s;< 1 ms;< 1 ms;24.29 Mbit/s;23.13 Mbit/s;0.0 %;4.62 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/10/15 16:48;24.87 Mbit/s;24.2 Mbit/s;< 1 ms;< 1 ms;24.17 Mbit/s;24.07 Mbit/s;0.0 %;5.0 ms;PTT Metro de Sao Paulo - Nodo 3 - PIX ALOG Tambore;;;;;
29/10/15 15:48;23.68 Mbit/s;23.03 Mbit/s;< 1 ms;< 1 ms;23.25 Mbit/s;23.31 Mbit/s;0.0 %;4.65 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
29/10/15 14:48;24.33 Mbit/s;23.96 Mbit/s;< 1 ms;< 1 ms;24.03 Mbit/s;24.16 Mbit/s;0.0 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/10/15 13:48;24.68 Mbit/s;24.29 Mbit/s;< 1 ms;< 1 ms;24.1 Mbit/s;23.69 Mbit/s;0.0 %;4.67 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/10/15 12:48;22.89 Mbit/s;22.51 Mbit/s;< 1 ms;1.17 ms;23.06 Mbit/s;23.53 Mbit/s;0.0 %;4.71 ms;PTT Metro de Sao Paulo - Nodo 1;;;;;
29/10/15 11:48;24.73 Mbit/s;24.08 Mbit/s;< 1 ms;< 1 ms;23.61 Mbit/s;24.25 Mbit/s;0.0 %;4.56 ms;PTT Metro de Sao Paulo - Nodo 4;;;;;
29/10/15 10:48;23.15 Mbit/s;24.47 Mbit/s;< 1 ms;< 1 ms;23.54 Mbit/s;23.75 Mbit/s;0.0 %;4.52 ms;PTT Metro de Sao Paulo - Nodo 3;;;;;
29/10/15 09:48;24.59 Mbit/s;24.17 Mbit/s;2.95 ms;< 1 ms;24.26 Mbit/s;24.1 Mbit/s;0.67 %;5.85 ms;PTT Metro de Sao Paulo - Nodo 2;;;;;
